"Factors","p^a >","Smallest q^2ß","Smallest q^2ß <","Largest q^2ß","Largest q^2ß >","Q^2 =1 mod 16","Q^2 =1 mod 32","N >","N=1 mod 12","N=117 mod 468","N=81 mod 324","105 | N","s(n)/n˜"
(5^5)(3^2)(13^2)(17^2)(19^2)(23^2)(29^2)(31^2)(37^2)(41^2),10^3,q1^2ß1,10^1,q9^2ß9,10^3,no,no,10^26,no,yes,no,no,2.583041860510535108036352002877071435795249326261575437358491474230506719305416437086629544762599229975667739114899466798912241441756460360607354502635073149753621592542655563695218273551410845606207
(5^9)(3^4)(13^4)(17^4)(19^4)(23^4)(29^4)(31^4)(37^4)(41^4),10^6,q1^2ß1,10^2,q9^2ß9,10^6,yes,no,10^52,no,yes,yes,no,2.674172051623086656780281505347020612394456779269467953334340697534641215006752952435665761053576246778014561264753832944489167672784210697470314081773424104889460619860626235297523980542254264424929
(5^13)(3^6)(13^6)(17^6)(19^6)(23^6)(29^6)(31^6)(37^6)(41^6),10^9,q1^2ß1,10^3,q9^2ß9,10^9,no,no,10^78,no,yes,yes,no,2.684005666081849539671557283926575510653299892257991684433056450822262993124079875495344181841756651810538163413674348032595706356149023452705111987348586851548780783362899184183481515205909560684068
(5^17)(3^8)(13^8)(17^8)(19^8)(23^8)(29^8)(31^8)(37^8)(41^8),10^11,q1^2ß1,10^4,q9^2ß9,10^12,yes,yes,10^104,no,yes,yes,no,2.685097111613254595822198478816780005837171143754776993214070257648714369861080430922417711876011484332754157193801797577305062461353563069530394077447565584523013455398925898516232579633165182509383
(5^21)(3^10)(13^10)(17^10)(19^10)(23^10)(29^10)(31^10)(37^10)(41^10),10^14,q1^2ß1,10^5,q9^2ß9,10^16,no,no,10^130,no,yes,yes,no,2.685218377673571768746477774497067200811200508912532267442089545969909914437770433738696828604258387738827368459692878807588396790320589035823297505193682470371219737779269096316724436070495843189158
(5^25)(3^12)(13^12)(17^12)(19^12)(23^12)(29^12)(31^12)(37^12)(41^12),10^17,q1^2ß1,10^6,q9^2ß9,10^19,yes,no,10^156,no,yes,yes,no,2.685231851650193694322547042171733263972934384087667980278742905012448809325222931293428697081204190114312117948288661658633573203495817730334354297317554011238302580570778736413461268480197501675409
(5^29)(3^14)(13^14)(17^14)(19^14)(23^14)(29^14)(31^14)(37^14)(41^14),10^20,q1^2ß1,10^7,q9^2ß9,10^22,no,no,10^182,no,yes,yes,no,2.685233348758539196633488837962439494180024705543659228246123636534428170255931848124348701158386589940985352962838706539894994095151404080296970797071160296865274029137785936271956738973510141945712
(5^33)(3^16)(13^16)(17^16)(19^16)(23^16)(29^16)(31^16)(37^16)(41^16),10^23,q1^2ß1,10^8,q9^2ß9,10^25,yes,yes,10^208,no,yes,yes,no,2.685233515103909955198676402476144779685264815363551848234722896001894638916651106518772081696522533978626497155248381111738973093268691216117462203415254424828612681237460765133945487390169795753996
(5^37)(3^18)(13^18)(17^18)(19^18)(23^18)(29^18)(31^18)(37^18)(41^18),10^25,q1^2ß1,10^9,q9^2ß9,10^29,no,no,10^234,no,yes,yes,no,2.685233533586728922765512601519184075441188654620937625436840396267900576204449434966039354762591783130890923264900742071485366589120495034696113203430075601259310300644729562170229951592051097556689
(5^41)(3^20)(13^20)(17^20)(19^20)(23^20)(29^20)(31^20)(37^20)(41^20),10^28,q1^2ß1,10^10,q9^2ß9,10^32,yes,no,10^260,no,yes,yes,no,2.685233535640375474684518751937993291961253132068639289375494435104226618125080878110337163922941999634533213653716260458151092443436610462049637371802980815593382084055791130042657176529582697974489
